AST;,0.02, ,14.22,222.3,222.3,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.22,-99,-99,100
AST;,0.03, ,14.24,225.1,225.1,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.24,-99,-99,100
SCV;,0,0,0,0.00,0.00,0, ,200,1.00,0.75,0.50,-1, ,0,0, ,12,2.392,10000, ,0,-1
AST;,0.03, ,14.26,227.8,227.8,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.26,-99,-99,100
AST;,0.03, ,14.27,226.2,226.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.27,-99,-99,100
AST;,0.03, ,14.27,225.0,225.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.27,-99,-99,100
AST;,0.03, ,14.28,225.2,225.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.28,-99,-99,100
AST;,0.03, ,14.30,228.0,228.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.30,-99,-99,100
AST;,0.03, ,14.31,227.8,227.8,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.31,-99,-99,100
AST;,0.03, ,14.29,223.2,223.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.29,-99,-99,100
AST;,0.03, ,14.31,225.8,225.8,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.31,-99,-99,100
AST;,0.03, ,14.31,224.0,224.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.31,-99,-99,100
AST;,0.03, ,14.32,224.1,224.1,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.32,-99,-99,100
AST;,0.03, ,14.36,230.1,230.1,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.36,-99,-99,100
AST;,0.03, ,14.37,230.7,230.7,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.37,-99,-99,100
NPC;,1,ALTREG,1234
AST;,0.03, ,14.36,226.4,226.4,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.36,-99,-99,100
AST;,0.03, ,14.39,232.0,232.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.39,-99,-99,100
AST;,0.03, ,14.38,229.6,229.6,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.38,-99,-99,100
AST;,0.03, ,14.39,228.1,228.1,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.39,-99,-99,100
